sentence,label
bu gün çox yaxşı hiss edirəm,positive
həyat çox yorucudur,negative
həyat çətindir,negative
bu gün çox pis keçdi,negative
yaxşı olacaq,positive
pis olacaq,negative
yoruldum,negative
bu məhsulu sevmədim,negative
pis olmadı,positive
dadlı deyildi,negative
təbriklər dostlar,positive
Bu gün əla gün idi,positive
əla keçdi hər şey,positive
bu kitabı çox bəyəndim,positive
 bu kitabı heç bəyənmədim,negative
yaxşı işlər görmüsünüz,positive
bunu bacara bilərəm,positive
kitabın hekayəsi sıxıcı idi,negative
anam çox dadlı yemək bişirib,positive
gözəl kitablar almışam amma vaxtım olmuyacaq oxumağa,negative
o özündən çox razıdır,negative
dadsız yeməklər verirlər,negative
möhtəşəm fikirləri var idi,positive
evləri çox təmiz idi,positive
qırmızı üzlü kitabları sevirəm,positive
yeməklər yanmışdı,negative
o çox səliqəlidir,positive
diqqətli davranmaq lazımdır,positive
o çox kobud insandır,negative
çirkli meyvələri yudum,negative
yaşıl alma turşdur,negative
qiymətləri əladır,positive
çox pinti qızdır,negative
çox tənbəl oğlandır,negative
böyük qulaqları var,negative
saçarı çox uzundur,positive
qəzəbi baxışarı var,negative
ağ paltarlar  tez çirkənir,negative
anam gözəl paltarlar alıb amma mənə balacadır,negative
isti  havada saçlarım tez qurudu,positive
pişik soyuqdan donmuşdu,negative
saçlarını qısa kəsdirmişdi,positive
dişləri ağappaq idi,positive
telefonun üstü cızılmışdı,negative
bu gün maraqsız idi,negative
dərslər çətindir,negative
işıq çox parlaqdır,negative
hava qaranlıq idi,negative
gözlərim eynəksiz yaxşı görmür,negative
güclü yağış yağır,negative
polad çox möhkəmdir,positive
mahnının səsi çox gurdur,negative
Türkiyədə əyləncə zamanı bomba partladıldı,negative
Türkiyə dünyanın ən güclü müsəlman ölkəsidir,positive
"mən ""Gmail"" işlədirəm",positive
Bunu oxuyan özünü ağıllı hiss edir,negative
mən zoram,positive
o zordu,positive
bomba söhbətdi,positive
sən nipravsan,negative
o çox panyatkasızdı,negative
kəsildik,negative
qaqan partdatdı,positive
maman səni döyəcək,negative
gözəlləşmisən ,positive
tutmusan deyəsən,positive
dərslərdən bezdim,negative
imtahanlar məni sıxır,negative
bütün müəllimlər adamı dəli edir,negative
Səbinə çox sərt adamdır,negative
o məni döymək istəyir,negative
Samir müəllim həmişə qayıb yazır,negative
bizim dekan çox bambılı adam idi,negative
Fuad müəllim bizi çox istəyir,positive
Fərid müəllim tələbəni kəsməyi sevir,negative
IT maraqlı sahədir,positive
Başım çox ağrıyır,negative
Texnologiya insan həyatını ələ keçirir,negative
düzgün dost tapmaq çox çətindir,negative
qız oğlana xəyanət etdi,negative
oğlan qızı eşşək kimi çırpdı,negative
qız qaynanasına bozardı,negative
indiki uşaqlar düzgün böyüdülmür,negative
qaqam zordu,positive
düşük zarafatlar etmə,negative
get özünə hörmət elə,negative
20 yaşı var 20 qram ağılı yoxdu,negative
"Həyatda itirdiklərn ilə yox,qazandıqların ilə yaşamalısan",positive
"Abır harda, çörək orda",positive
"Acın qarnı doyar, gözü doymaz",negative
Аcın nəyi vаr gicə vеrə,negative
"Ad adamı bəzəməz, adam adı bəzəyər",positive
Az olsun saz olsun,positive
siyasətə qarışmaq çətin məsələdir,negative
"dərslər səni öyrətmir, yönləndirir",positive
"su kiçiyin, yol böyüyündür",positive
qadına əl qalxmaz,positive
Bakı sürətlə çiçəklənir,negative
uşaqlar həyətdə oyun oynayır,positive
ana uşağını əzizlədi,positive
ata oğluna xərclik verdi,positive
sən paltaryuyan deyilsən,positive
internet çox zəifdir,negative
işıqlar tez tez sönür,negative
